BS_Region	Start	End	Size_(kb)	#_of_OPs_probes	Density_(Probes/kb)
T20	3970001	4240000	2.699990e+02	1431	5.300020e+00
T21	4240000	4800000	560	3393	6.058929e+00
T22	4800000	5040000	240	1139	4.745833e+00
T23	5040000	5590000	550	323	5.872727e-01
T23L6	5060000	5560000	500	6350	1.270000e+01
T24	5590000	5690000	100	860	8.600000e+00
T25	5690000	5970000	280	2023	7.225000e+00
T26	5970000	6209973	2.399730e+02	1661	6.921612e+00
T27	6430000	7100000	670	2999	4.476119e+00
T28	7100000	7400000	300	1191	3.970000e+00
